Title,Categories
August Karl Weber,"['Finanzminister (Großherzogtum Hessen)', 'Burschenschafter (19. Jahrhundert)', 'Deutscher', 'Geboren 1829', 'Gestorben 1900', 'Mann']"
Werner Friedrich Kunz,"['Bildhauer der Moderne', 'Bildhauer (Zürich)', 'Schweizer', 'Geboren 1896', 'Gestorben 1981', 'Mann']"
Josef Schnetzer,"['Person (Imst)]]; Ergänze [[Kategorie:Künstler (Imst)', 'Maler (Österreich)', 'Landschaftsmaler', 'Porträtmaler', 'Maler der Neuzeit', 'Träger des österreichischen Ehrenkreuzes für Wissenschaft und Kunst', 'Künstler (Imst)', 'Innviertler Künstlergilde', 'Darstellender Künstler (Linz)', 'Österreicher', 'Geboren 1905', 'Gestorben 1993', 'Mann']"
Melanie Straub,"['Filmschauspieler', 'Theaterschauspieler', 'Darstellender Künstler (Potsdam)', 'Deutscher', 'Geboren 1976', 'Frau']"
Flugplatz Döberitz,"['Luftfahrtingenieur', 'Hochschullehrer (Technische Universität Darmstadt)', 'Deutscher', 'Geboren 1877', 'Gestorben 1932', 'Mann']"
Hans Günther Tillmann,"['Hochschullehrer (Ludwig-Maximilians-Universität München)', 'Phonetiker', 'Deutscher', 'Geboren 1936', 'Mann']"
Simon Weinmann der Ältere,"['Bürgermeister (Heilbronn)', 'Deutscher', 'Geboren 1583', 'Gestorben 1638', 'Mann']"
Flavius Scheuermann,"['Deutscher]]; ±[[Kategorie:Deutscher Komponist]]→[[Kategorie:Komponist (Deutschland)', 'Komponist (Klassik)', 'Komponist (Deutschland)', 'Kirchenmusiker', 'Komponist (Kirchenmusik)', 'Klassischer Organist', 'Franziskaner (OFM)', 'Geboren 1744', 'Gestorben im 18. oder 19. Jahrhundert', 'Mann', 'Deutscher']"
Paul Joachim von Stülpnagel,"['Deutscher Botschafter in Mali', 'Deutscher Botschafter in Äthiopien', 'Familienmitglied des Adelsgeschlechts Stülpnagel|Paul Joachim', 'Deutscher', 'Geboren 1927', 'Mann']"
Johann Simon Weinmann der Jüngere,"['Bürgermeister (Heilbronn)', 'Deutscher', 'Geboren 1583', 'Gestorben 1638', 'Mann']"
Hans-Peter Stark (Fußballspieler),"['Fußballspieler (Blau-Weiß 90 Berlin)', 'Deutscher', 'Geboren 1954', 'Mann']"
Bertram Kaes,"['Spieleautor', 'Deutscher', 'Geboren 1958', 'Mann']"
Erich Gysling,"['Kolumnist', 'Publizist', 'Sachbuchautor', 'Journalist (Schweiz)', 'Chefredakteur', 'Schweizer', 'Geboren 1936', 'Mann']"
Erlöserkirche (Frankfurt-Oberrad),"['Bildhauer (Deutschland)', 'Grafiker (Deutschland)', 'Mitglied im Deutschen Künstlerbund', 'Installationskünstler (Deutschland)', 'Deutscher', 'Geboren 1929', 'Mann']"
Herb Schiffer,"['Maler (Deutschland)', 'Glasmaler (Deutschland)', 'Künstler (Düren)', 'Person (Jülich)', 'Deutscher', 'Geboren 1936', 'Mann']"
Ricarda Dietz,"['Bildhauer (München)', 'Träger des Bundesverdienstkreuzes am Bande', 'Deutscher', 'Geboren 1902', 'Gestorben 1996', 'Mann']"
Walter Dahlmann,"['Tischtennisspieler (Deutschland)', 'Sportler (Essen)', 'Deutscher', 'Geboren 1945', 'Mann']"
Lutz Schott von Schottenstein,"['Amtmann (Fürstentum Bayreuth)', 'Reichsritter', 'Schott von Schottenstein|Konrad', 'Deutscher', 'Geboren im 15. Jahrhundert', 'Gestorben 1526', 'Mann']"
Werner Straub (Geistlicher),"['Evangelischer Geistlicher (20. Jahrhundert)', 'Person der Bekennenden Kirche', 'Person des Christentums (Saarland)', 'Deutscher', 'Geboren 1901', 'Gestorben 1945', 'Mann']"
Joseph von Schoeler,"['General der Infanterie (Königreich Preußen)', 'Person in den Koalitionskriegen (Preußen)', 'Träger des Eisernen Kreuzes II. Klasse', 'Ritter des Schwarzen Adlerordens', 'Träger des Roten Adlerordens 1. Klasse', 'Träger des Pour le Mérite (Militärorden)', 'Träger des Ordens des Heiligen Georg', 'Gesandter eines Mitgliedstaates beim Deutschen Bund', 'Adliger', 'Deutscher', 'Geboren 1772', 'Gestorben 1840', 'Mann']"
Josef Böhm (Tischtennisspieler),"['Tischtennisspieler (ATSV Saarbrücken)', 'Tischtennisspieler (TTC Zugbrücke Grenzau)', 'Neurologe', 'Deutscher Meister (Tischtennis)', 'Deutscher', 'Geboren 1960', 'Mann']"
Carl von Stülpnagel,"['Landrat (Landkreis Prenzlau)', 'Verwaltungsjurist', 'Freimaurer (Deutschland)', 'Freimaurer (19. Jahrhundert)', 'Familienmitglied des Adelsgeschlechts Stülpnagel|Carl', 'Adliger', 'Deutscher', 'Geboren 1788', 'Gestorben 1875', 'Mann']"
Christof Straub,"['Gitarrist', 'Popmusiker', 'Songwriter', 'Komponist (Österreich)', 'Amadeus-Preisträger', 'Autor eines österreichischen Beitrags beim Eurovision Song Contest', 'Österreicher', 'Geboren 1969', 'Mann']"
Helmut Müller-Lankow,"['DDR-Bürger', 'Deutscher', 'Theaterschauspieler', 'Filmschauspieler', 'Hörspielsprecher', 'Darstellender Künstler (DDR)', 'Synchronsprecher', 'Geboren 1928', 'Gestorben 2006', 'Mann']"
Holger Starke,"['Autor', 'Wirtschaftshistoriker', 'Sozialhistoriker', 'Wissenschaftlicher Mitarbeiter eines Museums in Dresden', 'Geboren 1962', 'Mann', 'Deutscher']"
Ady H. Kiss,"['Autor', 'Literatur (20. Jahrhundert)', 'Literatur (21. Jahrhundert)', 'Literatur (Deutsch)', 'Literatur (Deutschland)', 'Science-Fiction-Literatur', 'Roman, Epik', 'Kurzgeschichte', 'Deutscher', 'Geboren 1963', 'Mann']"
Gitta Schweighöfer,"['Filmschauspieler', 'Theaterschauspieler', 'Theaterregisseur', 'Hörspielsprecher', 'Inoffizieller Mitarbeiter des Ministeriums für Staatssicherheit', 'DDR-Bürger', 'Deutscher', 'Geboren 1952', 'Mann']"
Friedrich Reinhold Dietz,"['Mediziner (19. Jahrhundert)', 'Medizinhistoriker', 'Altphilologe (19. Jahrhundert)', 'Deutscher', 'Geboren 1805', 'Gestorben 1836', 'Mann', 'Hochschullehrer (Albertus-Universität Königsberg)']"
Winfried Stark,"['Volkstümliche Musik', 'Interpret der Volksmusik (Deutschland)', 'Deutscher', 'Geboren 1955', 'Mann']"
Reichskuratorium für Jugendertüchtigung,"['Major (Preußen)', 'Major (Heer des Deutschen Kaiserreiches)', 'General der Infanterie (Reichswehr)', 'Kommandeur des 4. (Preußisches) Infanterie-Regiments (Reichswehr)', 'Kommandeur der 4. Division (Reichswehr)', 'Person im Ersten Weltkrieg (Deutsches Reich)', 'Träger des Roten Adlerordens 4. Klasse', 'Träger des Preußischen Königlichen Kronenordens 4. Klasse', 'Träger des Hausordens von Hohenzollern', 'Träger des Pour le Mérite (Militärorden)', 'Träger des Württembergischen Militärverdienstordens (Ritter)', 'Träger des Bayerischen Militärverdienstordens (III. Klasse)', 'Träger des Österreichischen Militärverdienstkreuzes III. Klasse', 'Träger des Eisernen Kreuzes I. Klasse', 'Träger des Mecklenburgischen Militärverdienstkreuzes', 'Familienmitglied des Adelsgeschlechts Stülpnagel|Edwin', 'Deutscher', 'Geboren 1876', 'Gestorben 1933', 'Mann']"
Arnold Scheibe,"['Agrarwissenschaftler (20. Jahrhundert)', 'Pflanzenbauwissenschaftler', 'Pflanzenzüchter', 'Hochschullehrer (Technische Universität München)', 'Burschenschafter (19. Jahrhundert)', 'Deutscher', 'Geboren 1875', 'Gestorben 1942', 'Mann']"
Wieland Kiess,"['Hochschullehrer (Universität Leipzig)', 'Deutscher', 'Geboren 1958', 'Mann']"
Konrad Dietz,"['Mitglied der Zweiten Kammer der Landstände des Großherzogtums Hessen', 'Richter (Hofgericht Gießen)', 'Politiker (19. Jahrhundert)', 'Deutscher', 'Geheimrat', 'Geboren 1780', 'Gestorben 1866', 'Mann']"
Kurt Reindel,"['Landeshistoriker (Bayern)', 'Mitglied der Bayerischen Akademie der Wissenschaften', 'Träger des Bayerischen Verdienstordens', 'Träger der Bayerischen Verfassungsmedaille in Gold', 'Träger des Bayerischen Maximiliansordens für Wissenschaft und Kunst', 'Korporierter im CV', 'Deutscher', 'Geboren 1894', 'Gestorben 1986', 'Mann']"
"Verband der Heimkehrer, Kriegsgefangenen und Vermisstenangehörigen Deutschlands","['Verbandsfunktionär (Deutschland)', 'NSDAP-Mitglied', 'Träger des Großen Bundesverdienstkreuzes mit Stern', 'Deutscher', 'Geboren 1914', 'Gestorben 2006', 'Mann']"
Paul Hofer (Kunsthistoriker),"['Architekturhistoriker', 'Hochschullehrer (Universität Bern)', 'Hochschullehrer (Universität Lausanne)', 'Hochschullehrer (ETH Zürich)', 'Schweizer', 'Geboren 1909', 'Gestorben 1995', 'Mann']"
"Helmut Müller (Fußballspieler, 1925)","['Fußballspieler (Wormatia Worms)', 'Deutscher', 'Geboren 1925', 'Gestorben 2006', 'Mann']"
Christian Stark,"['Mediziner (19. Jahrhundert)', 'Hochschullehrer (Friedrich-Schiller-Universität Jena)', 'Deutscher', 'Geboren 1787', 'Gestorben 1845', 'Mann']"
Othmar Huber,"['Augenarzt', 'Mediziner (20. Jahrhundert)', 'Kunstsammler', 'Schweizer', 'Geboren 1892', 'Gestorben 1979', 'Mann']"
Walter Wimmer (Historiker),"['Neuzeithistoriker', 'Hochschullehrer (Universität Leipzig)', 'Hörspielautor', 'Träger des Nationalpreises der DDR II. Klasse für Wissenschaft und Technik', 'Träger des Vaterländischen Verdienstordens in Bronze', 'Träger des Sterns der Völkerfreundschaft', 'Person (Grünhain-Beierfeld)', 'Person (Berlin)', 'Deutscher', 'Geboren 1929', 'Gestorben 1999', 'Mann']"
Sigrid Kiessling-Rossmann,"['Maler (Deutschland)', 'Deutscher', 'Geboren 1945', 'Frau']"
Traudel Sperber,"['Filmschauspieler', 'Theaterschauspieler', 'Hörspielsprecher', 'Synchronsprecher', 'Deutscher', 'Geboren 1957', 'Frau']"
Tim Olrik Stöneberg,"['Filmschauspieler', 'Theaterschauspieler', 'Darstellender Künstler (Köln)', 'Deutscher', 'Geboren 1973', 'Mann']"
Andreas Izquierdo,"['Synchronsprecher', 'Filmschauspieler', 'Deutscher', 'Geboren 1956', 'Mann']"
Peter Schreiner (Fußballtrainer),"['Fußballtrainer (FC Schalke 04)', 'Sachbuchautor (Fußball)', 'Deutscher', 'Geboren 1953', 'Mann', 'Person (Sportfreunde Katernberg)']"
Ernst Samter,"['Altphilologe (20. Jahrhundert)', 'Religionswissenschaftler (20. Jahrhundert)', 'Lehrer', 'Geboren 1868', 'Gestorben 1926', 'Deutscher', 'Mann']"
Gerhard Schoeller,"['Unternehmer (Niedersachsen)', 'Person (Osnabrück)', 'Industrieller (Düren)', 'Papierfabrikant', 'Mitglied der Unternehmerfamilie Schoeller|Felix', 'Deutscher', 'Geboren 1855', 'Gestorben 1907', 'Mann']"
Fanmeile Berlin,"['Senatsrat (Berlin)', 'Deutscher', 'Geboren 1939', 'Gestorben 2006', 'Mann']"
Franz Starker,"['Mitglied der Bremischen Bürgerschaft (1920–1945)', 'SPD-Mitglied', 'USPD-Mitglied', 'Person (Bremen)', 'Deutscher', 'Geboren 1881', 'Gestorben 1937', 'Mann']"
Karl Stark (Psychiater),"['Psychiater', 'Mediziner (19. Jahrhundert)', 'Deutscher', 'Geboren 1836', 'Gestorben 1897', 'Mann']"
Adolf Dietz,"['Rechtswissenschaftler (20. Jahrhundert)', 'Rechtswissenschaftler (21. Jahrhundert)', 'Hochschullehrer (Passau)', 'Träger des Verdienstordens der Republik Polen (Komtur)', 'Träger des Großen Bundesverdienstkreuzes', 'Person (München)', 'Deutscher', 'Geboren 1936', 'Mann', 'SPD-Mitglied']"
Gustav von Schoeller,"['Unternehmer (Österreich-Ungarn)', 'Unternehmer (19. Jahrhundert)', 'Person (Zuckerherstellung)', 'Träger des Franz-Joseph-Ordens (Ritter)', 'Person (Brünn)', 'Mitglied der Unternehmerfamilie Schoeller|Philipp Johann', 'Geboren 1835', 'Gestorben 1892', 'Mann']"
Domitilla Veith,"['Benediktinerin', 'Äbtissin (Frauenchiemsee)', 'Literatur (Deutsch)', 'Literatur (20. Jahrhundert)', 'Literatur (21. Jahrhundert)', 'Person (Schlesien)', 'Deutscher', 'Geboren 1928', 'Gestorben 2014', 'Frau']"
Hubertus Schoeller,"['Galerist', 'Kunstsammler', 'Person (Düren)', 'Mitglied der Unternehmerfamilie Schoeller|Hubertus', 'Deutscher', 'Geboren 1942', 'Mann']"
Fred Weinmann,"['Volkskundler', 'Heimatforscher', 'Lehrer', 'Deutscher', 'Fischbach bei Dahn', 'Person (Landkreis Südwestpfalz)', 'Geboren 1908', 'Gestorben 1991', 'Mann']"
Yunli Schreiner,"['Tischtennisspieler (Deutschland)', 'Tischtennisspieler (TTC Langweid)', 'Tischtennisspieler (Spanien)', 'Tischtennisspieler (Frankreich)', 'Deutscher', 'Chinese', 'Geboren 1965', 'Frau']"
Wilhelm Maximilian Kisch,"['Autor', 'Landeshistoriker', 'Person (Wien)', 'Person (Cisleithanien)', 'Person (Kaisertum Österreich)', 'Literatur (Deutsch)', 'Literatur (Österreich)', 'Geboren 1827', 'Gestorben 1893', 'Mann']"
Felix Heinrich Schoeller,"['Industrieller (Düren)', 'Papierfabrikant', 'Mitglied der Unternehmerfamilie Schoeller|Heinrich August', 'Deutscher', 'Geboren 1788', 'Gestorben 1863', 'Mann']"
Heinz Müller-Dietz,"['Absolvent der Albert-Ludwigs-Universität Freiburg', 'Rechtswissenschaftler (20. Jahrhundert)', 'Hochschullehrer (Universität des Saarlandes, Saarbrücken)', 'Strafvollzugswissenschaftler', 'Autor', 'Dichterjurist', 'Aphoristiker', 'Ehrendoktor der Keiō-Universität', 'Deutscher', 'Geboren 1931', 'Mann', 'Absolvent der Albert-Ludwigs-Universität Freiburg']"
Jörg Dahlmann,"['Fernsehjournalist', 'Fußballkommentator', 'Sportjournalist', 'Person (Gelsenkirchen)', 'Deutscher', 'Geboren 1959', 'Mann']"
Christa Schnitzler-Runge,"['Theaterschauspieler', 'Filmschauspieler', 'Deutscher', 'Geboren 1938', 'Frau']"
Michael Starke,"['Autor', 'Literatur (Deutsch)', 'Lyrik', 'Künstler (Bochum)', 'Mitglied im PEN-Zentrum Deutschland', 'Deutscher', 'DDR-Bürger', 'Geboren 1949', 'Gestorben 2016', 'Mann']"
Dominik Schiefner,"['Filmschauspieler', 'Theaterschauspieler', 'Komponist (Deutschland)', 'Geboren 1979', 'Mann', 'Deutscher', 'DDR-Bürger']"
Richard Straube (Politiker),"['Mitglied des Abgeordnetenhauses von Berlin', 'SPD-Mitglied', 'Deutscher', 'Geboren 1897', 'Gestorben 1969', 'Mann']"
Roderich Straub,"['Mitglied der Zweiten Kammer der Badischen Ständeversammlung', 'Oberamtmann (Baden)', 'Geheimer Regierungsrat (Baden)', 'Landeskommissär (Baden)', 'Träger des Roten Adlerordens 2. Klasse', 'Träger des Preußischen Königlichen Kronenordens 2. Klasse', 'Träger des Franz-Joseph-Ordens (Komtur mit Stern)', 'Träger des Ordens vom Zähringer Löwen (Kommandeur I. Klasse)', 'Träger des Großherzoglich Hessischen Verdienstordens (Komtur II. Klasse)', 'Träger des Albrechts-Ordens (Ritter 1. Klasse)', 'Träger des Eisernen Kreuzes am weißen Bande', 'Kommandeur II. Klasse des Ordens Berthold des Ersten', 'Badener', 'Deutscher', 'Geboren 1847', 'Gestorben 1925', 'Mann']"
Peter Schäfer (Historiker),"['Neuzeithistoriker', 'Marxistischer Historiker', 'Amerikanist', 'Hochschullehrer (Humboldt-Universität zu Berlin)', 'Hochschullehrer (Friedrich-Schiller-Universität Jena)', 'Hochschullehrer (Universität zu Köln)', 'Hochschullehrer (Georg-August-Universität Göttingen)', 'SED-Mitglied', 'Deutscher', 'DDR-Bürger', 'Geboren 1931', 'Gestorben 2016', 'Mann']"
Johannes Tobias Major,"['Absolvent der Martin-Luther-Universität Halle-Wittenberg', 'Autor', 'Lutherischer Theologe (17. Jahrhundert)', 'Hochschullehrer (Friedrich-Schiller-Universität Jena)', 'Deutscher', 'Geboren 1615', 'Gestorben 1655', 'Mann', 'Absolvent der Martin-Luther-Universität Halle-Wittenberg']"
Christian Ludwig Wilhelm Stark,"['Evangelischer Theologe (19. Jahrhundert)', 'Hochschullehrer (Friedrich-Schiller-Universität Jena)', 'Deutscher', 'Geboren 1790', 'Gestorben 1818', 'Mann']"
Peter Schäfer (Edelweißpirat),"['Person des Jugendwiderstands im Nationalsozialismus', 'Träger des Bundesverdienstkreuzes am Bande', 'Person (Köln)', 'Deutscher', 'Geboren 1930', 'Mann']"
Julia Stark,"['Theaterschauspieler', 'Filmschauspieler', 'Deutscher', 'Geboren 1991', 'Frau']"
Michael Scheuermann,"['Zeitungsjournalist', 'Journalist (Österreich)', 'Autor', 'Literatur (21. Jahrhundert)', 'Literatur (Deutsch)', 'Literatur (Österreich)', 'Roman, Epik', 'Kriminalliteratur', 'Österreicher', 'Geboren 1964', 'Mann']"
Alfred Bast,"['Maler (Deutschland)', 'Deutscher', 'Geboren 1948', 'Mann']"
Jürgen Stark (Autor),"['Musikjournalist', 'Autor', 'Journalist (Deutschland)', 'Deutscher', 'Geboren 1957', 'Mann']"
Michael Kissel,"['Bürgermeister (Worms)', 'SPD-Mitglied', 'Deutscher', 'Geboren 1955', 'Mann']"
Sabine Schiffer,"['Sprachwissenschaftler', 'Medienwissenschaftler', 'Medienpädagoge', 'Rassismusforscher', 'Deutscher', 'Geboren 1966', 'Frau', 'Hochschullehrer (Frankfurt am Main)', 'Person (interreligiöser Dialog)']"
Alfred Schreiner,"['Landtagsabgeordneter (Burgenland)', 'Bürgermeister (Hirm)', 'Antau', 'ÖGB-Funktionär', 'Arbeiterkammerfunktionär', 'SPÖ-Mitglied', 'Österreicher', 'Geboren 1954', 'Mann']"
Nikolaus Müller (Orgelbauer),"['Orgelbauer', 'Klavierbauer', 'Person (Kaisertum Österreich)', 'Deutscher', 'Geboren 1775', 'Gestorben 1834', 'Mann']"
Johann Christian Starke,"['Landrat (Landkreis Merseburg)', 'Person (Merseburg)', 'Freimaurer (Deutschland)', 'Freimaurer (18. Jahrhundert)', 'Freimaurer (19. Jahrhundert)', 'Deutscher', 'Geboren im 18. Jahrhundert', 'Gestorben 1840', 'Mann']"
Otto Rudolf Kissel,"['Sachbuchautor (Rechtswissenschaften)', 'Präsident (Bundesarbeitsgericht)', 'Richter (Oberlandesgericht Frankfurt am Main)', 'Rechtswissenschaftler (20. Jahrhundert)', 'Verwaltungsjurist', 'Hochschullehrer (Justus-Liebig-Universität Gießen)', 'Autor', 'Präses der Synode der Evangelischen Kirche in Hessen und Nassau', 'Träger des Großen Bundesverdienstkreuzes mit Stern und Schulterband', 'Träger des Hessischen Verdienstordens', 'Person (Frankfurt am Main)', 'Deutscher', 'Geboren 1929', 'Mann', 'Sachbuchautor (Rechtswissenschaften)']"
Carl Vering,"['Internist', 'Mediziner (20. Jahrhundert)', 'Corpsstudent (19. Jahrhundert)', 'Deutscher', 'Hochschullehrer (Ruprecht-Karls-Universität Heidelberg)', 'Person (Mannheim)', 'Sanitätsoffizier (Deutsches Reich)', 'Person im Ersten Weltkrieg (Deutsches Reich)', 'Person im Zweiten Weltkrieg (Deutsches Reich)', 'Geboren 1875', 'Gestorben 1953', 'Mann']"
Joseph Straub,"['Bildhauer (Wien)', 'Bildhauer (Wien)', 'Person (Habsburgermonarchie vor 1804)', 'Person (Kaisertum Österreich)', 'Geboren 1770', 'Gestorben 1827', 'Mann']"
Heinrich Veith,"['Unternehmer (Hessen)', 'Breuberg', 'Deutscher', 'Geboren 1860', 'Gestorben 1908', 'Mann', 'Person (Odenwaldkreis)']"
Ingeborg Schäffler-Wolf,"['Künstler (Heilbronn)', 'Bildwirker', 'Deutscher', 'Geboren 1928', 'Gestorben 2015', 'Frau']"
Alois Kieslinger,"['Kunsthistoriker', 'Kunstraub', 'Person (Österreich im Nationalsozialismus)', 'Person (deutsche Besetzung der Niederlande 1940–1945)', 'Person im Ersten Weltkrieg (Österreich-Ungarn)', 'Person (Cisleithanien)', 'NSDAP-Mitglied', 'Österreicher', 'Geboren 1891', 'Gestorben 1955', 'Mann']"
Viktor Schnitzler,"['Industrieller (Köln)', 'Textilunternehmer (19. Jahrhundert)', 'Kunstmäzen', 'Stifter', 'Deutscher', 'Geboren 1833', 'Gestorben 1910', 'Mann']"
Manfred Rolf Langner,"['Theaterregisseur', 'Theaterintendant', 'Übersetzer aus dem Englischen', 'Übersetzer aus dem Französischen', 'Übersetzer ins Deutsche', 'Künstler (Wiesbaden)', 'Künstler (Aachen)', 'Deutscher', 'Geboren 1958', 'Mann']"
Johann Wilhelm Schöler,"['Orgelbauer', 'Person (Bad Ems)', 'Deutscher', 'Geboren 1756', 'Gestorben 1832', 'Mann', 'Orgellandschaft Rheinland', 'Orgellandschaft Hessen']"
Günther Kissel,"['Unternehmer (Solingen)', 'Unternehmer (20. Jahrhundert)', 'Witikobund-Mitglied', 'Bauunternehmer', 'Holocaustleugner', 'Person des Geschichtsrevisionismus (deutscher Rechtsextremismus)', 'Geboren 1917', 'Gestorben 2011', 'Mann', 'Deutscher']"
Lombardsbrücke,"['Bauingenieur', 'Deutscher', 'Geboren 1809', 'Gestorben 1868', 'Mann']"
Annette Kisling,"['Fotograf (20. Jahrhundert)', 'Fotograf (21. Jahrhundert)', 'Fotograf (Leipzig)', 'Hochschullehrer (HGB Leipzig)', 'Deutscher', 'Geboren 1965', 'Frau']"
Christoph Kies,"['Tanzsportler]]; ±[[Kategorie:Tänzer (Deutschland)]]→[[Kategorie:Tanzsportler (Deutschland)', 'Sportler (Dresden)', 'Tanzsportler (Deutschland)', 'Deutscher', 'Geboren 1982', 'Mann']"
Ulrich Frank (Synchronsprecher),"['Person (Berlin)', 'Synchronsprecher', 'Hörspielsprecher', 'Filmschauspieler', 'Deutscher', 'Geboren 1981', 'Mann']"
Reinhold Schöller,"['Fußballspieler (SSV Reutlingen 05)', 'Deutscher', 'Geboren 1922', 'Mann']"
Johann Friedrich Starck,"['Mitglied der Ständeversammlung des Großherzogtums Frankfurt', 'Politiker (Frankfurt am Main)', 'Politiker (19. Jahrhundert)', 'Geboren 1776', 'Gestorben 1854', 'Mann']"
Justus (Rapper),"['Rapper', 'Conscious Rap', 'Pseudonym', 'Deutscher', 'Geboren 1977', 'Mann']"
Niels Wernich,"['Mediziner (20. Jahrhundert)', 'Person (Nordschleswig)', 'Deutscher', 'Däne', 'Geboren 1892', 'Gestorben 1977', 'Mann']"
Gerhard Honig,"['Musiker (Deutschland)', 'Liedtexter', 'Deutscher', 'Geboren 1898', 'Gestorben 1957', 'Mann']"
Erich Wernick,"['Oberstudiendirektor', 'Person (Ostpreußen)', 'Lehrer', 'Historiker', 'Hochschullehrer (Albertus-Universität Königsberg)', 'Hochschullehrer (Universität Hamburg)', 'Herausgeber', 'Mitglied der Historischen Kommission für ost- und westpreußische Landesforschung', 'Ehrenmitglied einer wissenschaftlichen Organisation', 'Träger des Bundesverdienstkreuzes am Bande', 'Deutscher', 'Geboren 1879', 'Gestorben 1957', 'Mann', 'Oberstudiendirektor']"
Richard Wernecke,"['Arbeitersport in Deutschland', 'SPD-Mitglied', 'Naturfreunde', 'Person (Arbeitersport)', 'AWO-Funktionär', 'Person (Magdeburg)', 'Person (Trier)', 'Deutscher', 'Geboren 1881', 'Gestorben 1934', 'Mann', 'Arbeitersport in Deutschland']"
Gustl Stark,"['Maler (Mainz)', 'Deutscher', 'Geboren 1917', 'Gestorben 2009', 'Mann']"
Joseph Joachim von Schnizer,"['Hofmaler (Württemberg)', 'Maler (Baden-Württemberg)', 'Landtagsabgeordneter (Württemberg, Zweite Kammer)', 'Württemberger', 'Deutscher', 'Geboren 1792', 'Gestorben 1870', 'Mann']"
Konrad Wernicke,"['Rechtsanwalt (Deutschland)', 'Wirtschaftsjurist', 'Landsmannschafter', 'Richter (Deutschland)', 'Träger des Bundesverdienstkreuzes am Bande', 'Person (Racibórz)', 'Deutscher', 'Geboren 1905', 'Gestorben 2002', 'Mann']"
Günter Käs,"['Persönlichkeit der Elektrotechnik', 'Hochschullehrer (Universität der Bundeswehr München)', 'Deutscher', 'Geboren 1932', 'Gestorben 2012', 'Mann']"
Enrique Wernicke,"['Autor', 'Journalist (Argentinien)', 'Puppenspieler', 'Schriftsteller (Buenos Aires)', 'Argentinier', 'Geboren 1915', 'Gestorben 1968', 'Mann']"
Walter Scharwenka,"['Theaterschauspieler', 'Filmschauspieler', 'Stummfilmschauspieler', 'Deutscher', 'Geboren 1882', 'Gestorben 1960', 'Mann']"
Albrecht Schöler,"['Person (Diakonie)]]; +[[Kategorie:Person (Andernach)', 'Evangelischer Geistlicher (19. Jahrhundert)', 'Person (Evangelische Kirche im Rheinland)', 'Person (Diakonie)', 'Person (Andernach)', 'Korporierter im Wingolf', 'Deutscher', 'Geboren 1819', 'Gestorben 1863', 'Mann']"
Franz Xaver Kießling,"['Heimatforscher (Niederösterreich)', 'Person (Krems an der Donau)', 'Person der völkischen Bewegung', 'Person des Sports (Österreich-Ungarn)', 'Person (Wien)', 'Österreicher', 'Geboren 1859', 'Gestorben 1940', 'Mann']"
Heinz Kögel,"['Deutscher', 'Filmschauspieler', 'Theaterschauspieler', 'Geboren 1938', 'Gestorben 2004', 'Mann']"
Hermann Lenhartz,"['Internist', 'Mediziner (20. Jahrhundert)', 'Corpsstudent (19. Jahrhundert)', 'Deutscher', 'Hochschullehrer (Ruprecht-Karls-Universität Heidelberg)', 'Person (Mannheim)', 'Sanitätsoffizier (Deutsches Reich)', 'Person im Ersten Weltkrieg (Deutsches Reich)', 'Person im Zweiten Weltkrieg (Deutsches Reich)', 'Geboren 1875', 'Gestorben 1953', 'Mann']"
Anton Baron,"['Landtagsabgeordneter (Baden-Württemberg)', 'Politiker (21. Jahrhundert)', 'AfD-Mitglied', 'Wirtschaftsingenieur', 'Deutscher', 'Russlanddeutscher', 'Geboren 1987', 'Mann']"
Thomas Günther Wunderlich,"['Bürgermeister (Lübeck)', 'Lübecker Ratsherr (19. Jahrhundert)', 'Deutscher', 'Geboren 1774', 'Gestorben 1852', 'Mann', 'Kaufleutekompanie (Lübeck)']"
Ernst Würtenberger,"['Grafiker', 'Person (Neu Beginnen)', 'Politiker (Kaiserslautern)', 'Deutscher', 'Geboren 1903', 'Gestorben 1971', 'Mann', 'SPD-Mitglied', 'Verurteilte Person (NS-Opfer)']"
Karl Heinz Schreiner,"['Brigadegeneral (Luftwaffe der Bundeswehr)', 'Militärperson (NATO)', 'General-Heusinger-Preisträger', 'Deutscher', 'Geboren 1952', 'Mann']"
Ingrid Scheffler,"['Medienwissenschaftler', 'Hochschullehrer (Technische Hochschule Köln)', 'Deutscher', 'Geboren 1955', 'Frau']"
Jens Thalmann,"['Motorrad-Rennfahrer (DDR)', 'Motorradweltmeister', 'Endurosportler', 'Sportler (Chemnitz)', 'Deutscher', 'DDR-Bürger', 'Geboren 1963', 'Mann']"
Schwäbische Forschungsgemeinschaft,"['Neuzeithistoriker', 'Landeshistoriker', 'Träger des Bundesverdienstkreuzes 1. Klasse', 'Träger des Bayerischen Verdienstordens', 'Träger des Gregoriusordens (Komtur mit Stern)', 'Mitglied der Bayerischen Akademie der Wissenschaften', 'Hochschullehrer (Ludwig-Maximilians-Universität München)', 'Hochschullehrer (Universität Regensburg)', 'Mitglied der Schwäbischen Forschungsgemeinschaft', 'Deutscher', 'Geboren 1922', 'Gestorben 2012', 'Mann']"
Julius Starcke,"['Bildhauer (Deutschland)', 'Deutscher', 'Geboren 1895', 'Gestorben 1945', 'Mann']"
