Title,Categories
Willy Schweighöfer,"['Theaterschauspieler', 'Filmschauspieler', 'Hörspielsprecher', 'Darstellender Künstler (DDR)', 'DDR-Bürger', 'Deutscher', 'Geboren 1960', 'Gestorben 2021', 'Mann']"
Johann Ludwig von Scheffler,"['Kunsthistoriker', 'Deutscher', 'Geboren 1852', 'Gestorben 1925', 'Mann', 'Adliger']"
Peter Schreiner (Erziehungswissenschaftler),"['Erziehungswissenschaftler', 'Pädagoge (21. Jahrhundert)', 'Religionspädagoge (Christentum)', 'Person (Bad Bergzabern)', 'Deutscher', 'Geboren 1955', 'Mann']"
Dieter Wernecke,"['Theaterschauspieler', 'Filmschauspieler', 'Deutscher', 'Geboren 1936', 'Gestorben 1980', 'Mann']"
Albrecht Mayer (Maler),"['Bildender Künstler (Basel)]]; −[[Kategorie:Person (Basel)]]; ±[[Kategorie:Maler (Schweiz)]]→[[Kategorie:Maler (Basel)', 'Maler (Basel)', 'Glasmaler (Schweiz)', 'Teilnehmer einer Biennale di Venezia', 'Schweizer', 'Geboren 1896', 'Gestorben 1983', 'Mann']"
Karl Straub (Schriftsteller),"['Person (Rhönklub)', 'Person (Salz, Unterfranken)', 'Deutscher', 'Geboren 1873', 'Gestorben 1949', 'Mann']"
Thilde Dietz,"['Sportler (Hamburg)', 'Tennisspieler (Deutschland)', 'Deutscher', 'Geboren 1915', 'Gestorben 1996', 'Frau']"
Kilian Stark,"['Landtagsabgeordneter (Wien)', 'Die-Grünen-Mitglied (Österreich)', 'Politiker (Penzing, Wien)', 'Österreicher', 'Geboren 1986', 'Mann']"
Edmund Stark,"['Richter (Landgericht)', 'Richter (Amtsgericht)', 'Person (Volksgerichtshof)', 'Reichsanwalt (Deutschland)', 'Korporierter im KV', 'Mitglied im Stahlhelm', 'NSKK-Mitglied', 'NSDAP-Mitglied', 'SA-Mitglied', 'Person (Ravensburg)', 'Deutscher', 'Geboren 1909', 'Gestorben 2004', 'Mann', 'Absolvent der Eberhard Karls Universität Tübingen']"
Wolfgang Schöller,"['Deutscher', 'Geboren 1953', 'Mann', 'Kunsthistoriker']"
"Philipp Wilhelm von Schoeller (Industrieller, 1797)","['Unternehmer (19. Jahrhundert)', 'Mitglied der Freikonservativen Partei', 'Mitglied des Preußischen Abgeordnetenhauses', 'Unternehmer (Breslau)', 'Unternehmer (Düren)', 'Mitglied der Unternehmerfamilie Schoeller|Leopold', 'Deutscher', 'Geboren 1830', 'Gestorben 1896', 'Mann']"
Peter Schnitzler,"['Theaterschauspieler', 'Theaterregisseur', 'Träger der Kainz-Medaille', 'Arthur Schnitzler', 'Darstellender Künstler (Wien)', 'Person (Österreich-Ungarn)', 'Österreicher', 'Geboren 1902', 'Gestorben 1982', 'Mann']"
Silvia Thalmann-Gut,"['Kantonsrat (Zug)]] umbenannt in [[Kategorie:Kantonsrat (Zug, Person)]]: laut [[Wikipedia Diskussion:WikiProjekt Politik#Kategorien zu Schweizer Kantonsparlamentariern', 'Regierungsrat (Zug)', 'Kantonsrat (Zug, Person)', 'CVP-Mitglied (Schweiz)', 'Schweizer', 'Geboren 1961', 'Frau']"
Hans Schreiner (Maler),"['Glasmaler (Deutschland)', 'Mitglied im Deutschen Künstlerbund', 'Maler (Stuttgart)', 'Ehrenprofessor des Landes Baden-Württemberg', 'Deutscher', 'Geboren 1930', 'Mann']"
Alexander Schiffler,"['Behindertensportler (Volleyball, Deutschland)', 'Paralympics-Teilnehmer (Deutschland)', 'Teilnehmer der Sommer-Paralympics 2012', 'Träger des Silbernen Lorbeerblattes', 'Deutscher', 'Geboren 1982', 'Mann']"
Robert Schiffer,"['Fußballspieler (DDR)', 'Fußballspieler (SV Elstertal Silbitz/Crossen)', 'Fußballspieler (BSG Wismut Gera)', 'Deutscher', 'DDR-Bürger', 'Geboren 1922', 'Mann']"
Alexander Wernicke,"['Autor]]; Ergänze [[Kategorie:Schulbuchautor', 'Hochschullehrer (Technische Universität Braunschweig)', 'Schulleiter (Braunschweig)', 'Pädagoge (19. Jahrhundert)', 'Pädagoge (20. Jahrhundert)', 'Lehrer', 'Schulbuchautor', 'Deutscher', 'Geboren 1857', 'Gestorben 1915', 'Mann']"
Heike Zinsmeister,"['Germanist', 'Hochschullehrer (Universität Hamburg)', 'Hochschullehrer (Universität Konstanz)', 'Deutscher', 'Geboren 1967', 'Frau']"
Lucas Lichtenhan,"['Kunsthistoriker', 'Kunsthändler', 'Ausstellungskurator', 'Person (Basel)', 'Schweizer', 'Geboren 1898', 'Gestorben 1969', 'Mann']"
Ernst Ulrich Scheffler,"['Mitglied des Bundes Deutscher Architekten]] umbenannt in [[Kategorie:Mitglied des Bundes Deutscher Architektinnen und Architekten]]: laut [[Wikipedia:WikiProjekt Kategorien/Diskussionen/2021/April/5#Kategorie:Mitglied des Bundes Deutscher Architekten nach Kategorie:Mitglied des Bundes Deutscher Architektinnen und Architekten (erl.)|Diskussion', 'Architekt (Frankfurt am Main)', 'Hochschullehrer (Detmold)', 'Hochschullehrer (Hochschule RheinMain)', 'Mitglied des Bundes Deutscher Architektinnen und Architekten', 'Deutscher', 'Geboren 1944', 'Mann']"
Heinrich Schiffner,"['Orgelbauer', 'Person (Prag)', 'Musik (Prag)', 'Geboren 1853', 'Gestorben 1938', 'Mann']"
Friedrich Wernicke (Bergingenieur),"['Berghauptmann', 'NSDAP-Mitglied', 'Deutscher', 'Geboren 1902', 'Gestorben 1982', 'Mann']"
Johann Schreiner (Biologe),"['Hochschullehrer (Leuphana Universität Lüneburg)', 'Ehrendoktor der Leuphana Universität Lüneburg', 'Deutscher', 'Geboren 1952', 'Mann', 'Biologe']"
Mathis Wernecke,"['Kinderdarsteller', 'Filmschauspieler', 'Deutscher', 'Geboren 2006', 'Mann']"
Roswitha Staege,"['Klassischer Flötist', 'Musikpädagoge', 'Hochschullehrer (HfM Saar, Saarbrücken)', 'Hochschullehrer (Universität der Künste Berlin)', 'Deutscher', 'Geboren 1950', 'Frau']"
Bernd F. Straub,"['Chemiker (21. Jahrhundert)', 'Hochschullehrer (Ruprecht-Karls-Universität Heidelberg)', 'Deutscher', 'Geboren 1973', 'Mann']"
"Josef Böhm (Politiker, 1887)","['SPD-Mitglied', 'USPD-Mitglied', 'Mitglied der Bremischen Bürgerschaft (1920–1945)', 'Mitglied der Bremischen Bürgerschaft (ab 1945)', 'KZ-Häftling', 'Österreicher', 'Deutscher', 'Geboren 1887', 'Gestorben 1954', 'Mann']"
Joseph Wendolin Straub,"['Nationalrat (Aargau)', 'Ständerat (Aargau)', 'Regierungsrat (Aargau)', 'Grossrat (Aargau)', 'Richter (Schweiz)', 'Schweizer', 'Geboren 1832', 'Gestorben 1901', 'Mann']"
Marco Justus Schöler,"['Fotograf (Berlin)', 'Fotograf (21. Jahrhundert)', 'Geboren 1990', 'Deutscher', 'Mann']"
Reinhard Schiffers,"['Neuzeithistoriker', 'Politikwissenschaftler', 'Hochschullehrer (Rheinische Friedrich-Wilhelms-Universität Bonn)', 'Absolvent der Universität Mannheim', 'Person (Kommission für Geschichte des Parlamentarismus und der politischen Parteien)', 'Deutscher', 'Geboren 1935', 'Mann']"
Hans-Martin Weinmann,"['Hochschullehrer (Technische Universität München)', 'Epileptologe', 'Pädiater', 'Mediziner (20. Jahrhundert)', 'Deutscher', 'Geboren 1928', 'Gestorben 2020', 'Mann']"
Johann Heinrich Starcke,"['Autor', 'Mediziner (17. Jahrhundert)', 'Mediziner (18. Jahrhundert)', 'Hochschullehrer (Albertus-Universität Königsberg)', 'Rektor (Albertus-Universität Königsberg)', 'Mitglied der Leopoldina (17. Jahrhundert)', 'Person (Königsberg, Preußen)', 'Deutscher', 'Geboren 1651', 'Gestorben 1707', 'Mann']"
Uli Veith,"['Dokumentarfilmer', 'Drehbuchautor', 'Filmregisseur', 'Filmproduzent', 'Deutscher', 'Geboren im 20. Jahrhundert', 'Mann']"
Karl von Veith,"['Generalmajor (Königreich Preußen)', 'Person im Deutschen Krieg', 'Person im Deutsch-Französischen Krieg', 'Träger des Ordens der Württembergischen Krone (Komtur)', 'Träger des Ordens vom Zähringer Löwen (Kommandeur II. Klasse)', 'Träger des Hausordens Albrechts des Bären', 'Träger des Herzoglich Sachsen-Ernestinischen Hausordens', 'Großkomtur des Hausordens der Wendischen Krone', 'Träger des Roten Adlerordens 2. Klasse', 'Träger des Preußischen Königlichen Kronenordens 2. Klasse', 'Artillerist (Preußen)', 'Nobilitierter (Preußen)', 'Preuße', 'Geboren 1818', 'Gestorben 1892', 'Mann']"
Johann Friedrich von Stülpnagel,"['Hauptmann (Preußen)', 'Geograph (19. Jahrhundert)', 'Kartograf (19. Jahrhundert)', 'Familienmitglied des Adelsgeschlechts Stülpnagel|Johann Friedrich', 'Adliger', 'Deutscher', 'Geboren 1786', 'Gestorben 1865', 'Mann']"
Lilly von Mallinckrodt-Schnitzler,"['Mitglied der Bankiersfamilie Schnitzler|⚭Lilly #Mallinckrodt', 'Mäzen', 'Adliger', 'Deutscher', 'Geboren 1889', 'Gestorben 1981', 'Frau']"
Alexander Starck,"['FDGB-Funktionär', 'KPD-Mitglied', 'Abgeordneter der Volkskammer', 'SED-Mitglied', 'Betroffener eines Parteiausschlussverfahrens (SED)', 'Deutscher', 'Geboren 1909', 'Gestorben 1963', 'Mann', 'Emigrant aus dem Deutschen Reich zur Zeit des Nationalsozialismus']"
Fritz Starck,"['Politiker (20. Jahrhundert)', 'Mitglied der Hamburgischen Bürgerschaft', 'NSDAP-Mitglied', 'DP-Mitglied', 'Deutscher', 'Geboren 1900', 'Gestorben im 20. Jahrhundert', 'Mann']"
Uwe Schöler,"['Fußballspieler (SSV Reutlingen 05)', 'Fußballspieler (1. FC Köln)', 'Fußballspieler (Preußen Münster)', 'Fußballspieler (VfL Kirchheim/Teck)', 'Fußballspieler (FC 07 Albstadt)', 'Fußballspieler (SC Geislingen)', 'Geboren 1964', 'Deutscher', 'Mann']"
Bernd Kießling,"['Fußballspieler (DDR)', 'Fußballspieler (SC Einheit Dresden)', 'Fußballspieler (FSV Lokomotive Dresden)', 'Deutscher', 'DDR-Bürger', 'Geboren 1942', 'Mann']"
Franz Werneke,"['Maler (Düsseldorf)', 'Porträtmaler', 'Landschaftsmaler', 'Stilllebenmaler', 'Zeichner (Deutschland)', 'Grafiker (Deutschland)', 'Illustrator (Deutschland)', 'Aquarellist', 'Glaskünstler', 'Mosaikkünstler', 'Deutscher', 'Geboren 1906', 'Gestorben 1989', 'Mann']"
Andy Brings,"['Sänger', 'Musiker (Deutschland)', 'Deutscher', 'Geboren 1971', 'Mann', 'Sodom (Band)']"
"Friedrich Schulze (Politiker, 1888)","['Mitglied der Bremischen Bürgerschaft (ab 1945)', 'FDP-Mitglied', 'CDU-Mitglied', 'Deutscher', 'Geboren 1888', 'Gestorben 1963', 'Mann']"
"Rolf Keller (Architekt, 1930)","['Architekt (Schweiz)', 'Schweizer', 'Geboren 1931', 'Mann']"
Turi Weinmann,"['Bildhauer (Deutschland)', 'Deutscher', 'Geboren 1883', 'Gestorben 1950', 'Mann']"
Johann Weinmann (Theologe),"['Lutherischer Theologe (17. Jahrhundert)', 'Lutherischer Geistlicher (17. Jahrhundert)', 'Hochschullehrer (Altdorf bei Nürnberg)', 'Absolvent der Friedrich-Schiller-Universität Jena', 'Absolvent der Justus-Liebig-Universität Gießen', 'Deutscher', 'Geboren 1599', 'Gestorben 1672', 'Mann']"
Thomas Heinrich Stark,"['Philosoph (20. Jahrhundert)', 'Philosoph (21. Jahrhundert)', 'Hochschullehrer (Philosophisch-Theologische Hochschule St. Pölten)', 'Deutscher', 'Geboren 1960', 'Mann']"
Peter Schäfer (Fußballspieler),"['Fußballspieler (DDR)', 'Fußballspieler (SC Rotation Leipzig)', 'Fußballspieler (BSG Stahl Riesa)', 'Fußballspieler (Dynamo Dresden)', 'DDR-Bürger', 'Deutscher', 'Geboren 1941', 'Mann']"
Felix Kiessling,"['Bildender Künstler (Berlin)', 'Installationskünstler (Deutschland)', 'Deutscher', 'Geboren 1980', 'Mann']"
Christian August Friedrich Köhler,"['Richter (Preußen)', 'Major (Preußen)', 'Person (Haldensleben)', 'Person (Halberstadt)', 'Geboren 1779', 'Gestorben 1827', 'Mann', 'Person in den Koalitionskriegen (Preußen)']"
Hans Kießling (Täufer),"['Maurer', 'Person (Täuferbewegung)', 'Person des Christentums (Augsburg)', 'Geboren im 15. oder 16. Jahrhundert', 'Gestorben im 16. Jahrhundert', 'Mann']"
Otto Stark (Kabarettist),"['Kabarettist (Deutschland)', 'Kabarettist (Österreich)', 'Theaterintendant', 'Theaterschauspieler', 'Filmschauspieler', 'Hörspielsprecher', 'Träger des Goethepreises der Stadt Berlin', 'Träger des Nationalpreises der DDR I. Klasse für Kunst und Literatur', 'Träger des Banners der Arbeit', 'Träger des Vaterländischen Verdienstordens in Bronze', 'Darstellender Künstler (DDR)', 'Darstellender Künstler (Berlin)', 'Überlebender des Holocaust', 'Österreichischer Emigrant zur Zeit des Nationalsozialismus', 'Österreicher', 'Geboren 1922', 'Gestorben 2018', 'Mann']"
Albert Dietz (Architekt),"['Architekt (Deutschland)', 'Deutscher', 'Geboren 1958', 'Mann']"
Karl Rinck von Starck,"['Innenminister des Großherzogtums Hessen', 'Justizminister (Großherzogtum Hessen)', 'Außenminister (Großherzogtum Hessen)', 'Mitglied der Ersten Kammer der Landstände des Großherzogtums Hessen', 'Landrat (Landkreis Offenbach)', 'Landrat (Großherzogtum Hessen)', 'Corpsstudent (19. Jahrhundert)', 'Politiker (19. Jahrhundert)', 'Staatsminister des Großherzogtums Hessen', 'Freiherr', 'Deutscher', 'Landrat (Landkreis Gießen)', 'Geboren 1825', 'Gestorben 1910', 'Mann', 'Wirklicher Geheimer Rat', 'Exzellenz (Hessen)']"
Pierre W. Feit,"['Musiker (Deutschland)', 'Oboist', 'Hochschullehrer (Folkwang Universität, Standort Essen)', 'Deutscher', 'Geboren 1941', 'Mann']"
Heribert Dietz,"['Landrat (Rheingau-Taunus-Kreis)', 'CDU-Mitglied', 'Politiker (20. Jahrhundert)', 'Korporierter im CV', 'Person (Krefeld)', 'Deutscher', 'Geboren 1940', 'Gestorben 2019', 'Mann']"
Marianne Riedel-Weber,"['Theaterschauspieler', 'Deutscher', 'Geboren 1937', 'Gestorben 2012', 'Frau']"
Otto von Ramin (Politiker),"['Verwaltungsjurist', 'Geheimer Regierungsrat', 'Landwirt (Deutschland)', 'Mitglied des Preußischen Herrenhauses', 'Corpsstudent (19. Jahrhundert)', 'Mitglied des Preußischen Abgeordnetenhauses', 'Träger des Roten Adlerordens 4. Klasse', 'Ehrenritter (Johanniterorden)', 'Deutscher', 'Geboren 1815', 'Gestorben 1882', 'Mann']"
Michael Dietz (Politiker),"['Mitglied der Zweiten Kammer der Landstände des Herzogtums Nassau', 'Politiker (Wiesbaden)', 'Geboren 1781', 'Gestorben 1839', 'Mann']"
Christian Schiffer (Journalist),"['Hörfunkjournalist', 'Computerspiele-Journalist', 'Herausgeber', 'Spielekritiker', 'Autor', 'Person (Bayerischer Rundfunk)', 'Person (München)', 'Deutscher', 'Geboren 1979', 'Mann']"
Jürgen Straub (Psychologe),"['Psychologe', 'Schweizer', 'Geboren 1958', 'Mann']"
Schoeller Textil (Deutschland),"['Unternehmer (19. Jahrhundert)', 'Mitglied der Freikonservativen Partei', 'Mitglied des Preußischen Abgeordnetenhauses', 'Unternehmer (Breslau)', 'Unternehmer (Düren)', 'Mitglied der Unternehmerfamilie Schoeller|Leopold', 'Deutscher', 'Geboren 1830', 'Gestorben 1896', 'Mann']"
Walter Torbrügge,"['Landeshistoriker (Bayern)', 'Mitglied der Bayerischen Akademie der Wissenschaften', 'Träger des Bayerischen Verdienstordens', 'Träger der Bayerischen Verfassungsmedaille in Gold', 'Träger des Bayerischen Maximiliansordens für Wissenschaft und Kunst', 'Korporierter im CV', 'Deutscher', 'Geboren 1894', 'Gestorben 1986', 'Mann']"
Agnes Susanne Scheurmann,"['Maler (Deutschland)', 'Grafiker (Deutschland)', 'Deutscher', 'Geboren 1881', 'Gestorben 1974', 'Frau']"
Karl-Heinz Tietz,"['Fußballspieler (DDR)', 'Fußballspieler (BSG Rotation Babelsberg)', 'Fußballtrainer (SV Babelsberg 03)', 'Deutscher', 'DDR-Bürger', 'Geboren 1919', 'Gestorben 2014', 'Mann']"
Manfred P. Straube,"['Landeshistoriker', 'Neuzeithistoriker', 'Mittelalterhistoriker', 'Hochschullehrer (Universität Leipzig)', 'Deutscher', 'Geboren 1930', 'Mann']"
Günter Wirth (Publizist),"['CDU-Mitglied (DDR)', 'Mitglied der Christlichen Friedenskonferenz', 'Publizist', 'Person (Ministerium für Staatssicherheit)', 'Mitglied der Stadtverordnetenversammlung von Berlin (DDR)', 'Träger des Vaterländischen Verdienstordens in Gold', 'Träger der Johannes-R.-Becher-Medaille', 'Ehrendoktor der Comenius-Universität Bratislava', 'Funktionär des Kulturbundes der DDR', 'Chefredakteur', 'Person des Christentums (DDR)', 'DDR-Bürger', 'Deutscher', 'Geboren 1929', 'Gestorben 2009', 'Mann']"
Jutta Schnitzer-Ungefug,"['Neurobiologe', 'Deutscher', 'Geboren 1953', 'Frau']"
"August Weber (Politiker, 1829)","['Finanzminister (Großherzogtum Hessen)', 'Burschenschafter (19. Jahrhundert)', 'Deutscher', 'Geboren 1829', 'Gestorben 1900', 'Mann']"
Joachim K. M. Fait,"['Kunsthistoriker', 'Deutscher', 'Geboren 1921', 'Gestorben 1993', 'Mann']"
Lea Schreiner,"['Kraftdreikämpfer (Deutschland)', 'Sportler (Köln)', 'Deutscher', 'Geboren 1995', 'Frau']"
Franz Michael Veith,"['Maler (Deutschland)', 'Historienmaler', 'Genremaler', 'Lithograf (Deutschland)', 'Deutscher', 'Geboren 1799', 'Gestorben 1846', 'Mann']"
Adele von Stark,"['Maler (Österreich)', 'Wiener Werkstätte', 'Kunsthandwerker', 'Person (Cisleithanien)', 'Österreicher', 'Geboren 1859', 'Gestorben 1923', 'Frau']"
Ursula Kissel,"['Autor', 'Deutscher', 'Geboren im 20. Jahrhundert', 'Person (Neustadt an der Weinstraße)', 'Frau']"
Isabella Straub (Autorin),"['Autor', 'Literatur (Deutsch)', 'Literatur (Österreich)', 'Absolvent der Universität Klagenfurt', 'Österreicher', 'Geboren 1968', 'Frau']"
Johann Caspar Rahn,"['Maler (Schweiz)', 'Landschaftsmaler', 'Kunstlehrer', 'Person (Zürich)', 'Schweizer', 'Geboren 1769', 'Gestorben 1840', 'Mann']"
Christoph Straub,"['Gesundheitsmanager', 'Mediziner (21. Jahrhundert)', 'Mediziner (20. Jahrhundert)', 'Deutscher', 'Geboren 1961', 'Mann']"
Werner Schiffner,"['Radsportler (Deutschland)', 'Radsporttrainer (DDR)', 'Sportler (Leipzig)', 'Deutscher', 'DDR-Bürger', 'Geboren 1914', 'Gestorben 1999', 'Mann']"
Elfriede Dallmann,"['Abgeordneter der Volkskammer', 'Politiker (Berlin)', 'Bezirksbürgermeister des Bezirks Treptow', 'NDPD-Mitglied', 'DDR-Bürger', 'Deutscher', 'Geboren 1917', 'Gestorben 2005', 'Frau']"
Matthias von Wolzogen auf Missingdorf,"['Person im Dreißigjährigen Krieg', 'Hofmeister', 'Oldenburgischer Diplomat', 'Mitglied der Fruchtbringenden Gesellschaft', 'Adliger', 'Deutscher', 'Geboren 1588', 'Gestorben 1665', 'Mann']"
Ernst Kissling,"['Bildhauer (Schweiz)', 'Teilnehmer einer Biennale di Venezia', 'Person (Zürich)', 'Schweizer', 'Geboren 1890', 'Gestorben 1973', 'Mann']"
Werner Kießling (Verbandsfunktionär),"['Verbandsfunktionär (Deutschland)', 'NSDAP-Mitglied', 'Träger des Großen Bundesverdienstkreuzes mit Stern', 'Deutscher', 'Geboren 1914', 'Gestorben 2006', 'Mann']"
Karolin Kroiß,"['Benediktinerin', 'Äbtissin', 'Deutscher', 'Geboren 1862', 'Gestorben 1927', 'Frau']"
Arnold Bormann,"['Komponist (Deutschland)', 'Deutscher', 'Geboren 1918', 'Gestorben 1969', 'Mann']"
Lilian Schiffer,"['Filmschauspieler', 'Deutscher', 'Geboren 1988', 'Frau']"
Christian Friedrich von Ramin,"['Richter (Preußen)', 'Person (Stettin)', 'Adliger', 'Preuße', 'Geboren 1714', 'Gestorben 1761', 'Mann']"
Catia Werneck,"['Jazz-Sänger', 'Weltmusik-Sänger', 'Songwriter', 'Brasilianer', 'Geboren 1962', 'Frau']"
Erich Wernicke (Lehrer),"['Oberstudiendirektor', 'Person (Ostpreußen)', 'Lehrer', 'Historiker', 'Hochschullehrer (Albertus-Universität Königsberg)', 'Hochschullehrer (Universität Hamburg)', 'Herausgeber', 'Mitglied der Historischen Kommission für ost- und westpreußische Landesforschung', 'Ehrenmitglied einer wissenschaftlichen Organisation', 'Träger des Bundesverdienstkreuzes am Bande', 'Deutscher', 'Geboren 1879', 'Gestorben 1957', 'Mann', 'Oberstudiendirektor']"
Rolf Dietz (Fußballspieler),"['Fußballspieler (DDR)', 'Fußballspieler (SC Einheit Dresden)', 'Deutscher', 'DDR-Bürger', 'Geboren 1933', 'Mann']"
Johann Martin Starck,"['Mitglied der Ständeversammlung des Großherzogtums Frankfurt', 'Politiker (Frankfurt am Main)', 'Politiker (19. Jahrhundert)', 'Geboren 1776', 'Gestorben 1854', 'Mann']"
Hellmuth Müller (Kriminalbeamter),"['Person (Reichssicherheitshauptamt)', 'SS-Mitglied', 'Deutscher', 'Geboren im 19. oder 20. Jahrhundert', 'Gestorben im 20. Jahrhundert', 'Mann', 'Person (Reichskriminalpolizeiamt)']"
Johann Heinrich Funck,"['Person (Erzgebirge)', 'Person (Böhmen)', 'Geboren im 17. Jahrhundert', 'Gestorben 1713', 'Mann']"
Jürgen Kießling,"['Senatsrat (Berlin)', 'Deutscher', 'Geboren 1939', 'Gestorben 2006', 'Mann']"
Arno Straube,"['Bergsteiger (Deutschland)', 'Sportkletterer (Deutschland)', 'KJVD-Mitglied', 'Person (Dresden)', 'Deutscher', 'Geboren 1915', 'Gestorben 1945', 'Mann', 'Amtlich für tot erklärte Person (20. Jahrhundert)']"
Jakob Schilling,"['Architekt (Schweiz)', 'Schweizer', 'Geboren 1931', 'Mann']"
Horst Scheffler (Geologe),"['Geologe (20. Jahrhundert)', 'Geologe (21. Jahrhundert)', 'Mineraloge', 'Museumsleiter', 'Person (Wernigerode)', 'Deutscher', 'DDR-Bürger', 'Geboren 1934', 'Gestorben 2018', 'Mann']"
Heinrich August Schoeller (Papierfabrikant),"['Industrieller (Düren)', 'Papierfabrikant', 'Mitglied der Unternehmerfamilie Schoeller|Heinrich August', 'Deutscher', 'Geboren 1788', 'Gestorben 1863', 'Mann']"
Franz Clemens Schiffer,"['Person (deutsche Besetzung Polens 1939–1945)', 'Täter des Holocaust', 'Landrat (Landkreis Züllichau-Schwiebus)', 'Person im Zweiten Weltkrieg (Deutsches Reich)', 'Person im Ersten Weltkrieg (Deutsches Reich)', 'Militärperson (Luftwaffe der Wehrmacht)', 'SA-Mitglied', 'NSDAP-Mitglied', 'Deutscher', 'Geboren 1896', 'Gestorben 1940', 'Mann']"
Rolf Dietz (Rechtswissenschaftler),"['Absolvent der Julius-Maximilians-Universität Würzburg', 'Rechtswissenschaftler (20. Jahrhundert)', 'Person im Ersten Weltkrieg (Deutsches Reich)', 'Hochschullehrer (Justus-Liebig-Universität Gießen)', 'NSDAP-Mitglied', 'Hochschullehrer (Universität Breslau)', 'Hochschullehrer (Christian-Albrechts-Universität zu Kiel)', 'Hochschullehrer (Westfälische Wilhelms-Universität)', 'Hochschullehrer (Ludwig-Maximilians-Universität München)', 'Richter (Oberlandesgericht Hamm)', 'Deutscher', 'Geboren 1902', 'Gestorben 1971', 'Mann', 'Ehrendoktor der Westfälischen Wilhelms-Universität', 'Absolvent der Julius-Maximilians-Universität Würzburg']"
Christian Schiffer (Comedian),"['Komiker', 'Deutscher', 'Geboren 1985', 'Mann']"
Nikolaus Straub,"['Person (Schwäbisch Hall)', 'Person (Heilbronn)', 'Bibelübersetzer', 'Geboren im 15. Jahrhundert', 'Gestorben 1500', 'Mann']"
Philipp Schöller (Politiker),"['Textilunternehmer (19. Jahrhundert)', 'Mitglied des Preußischen Abgeordnetenhauses', 'Konsul', 'Unternehmer (Breslau)', 'Person (Zürich)', 'Mitglied der Unternehmerfamilie Schoeller|Rudolf Wilhelm', 'Deutscher', 'Geboren 1827', 'Gestorben 1902', 'Mann']"
Simone Burel,"['Sprachwissenschaftler', 'Unternehmensberater', 'Deutscher', 'Geboren 1986', 'Frau']"
Siegfried Scheffler (Musiker),"['Komponist (Deutschland)', 'Dirigent', 'Deutscher', 'Geboren 1867', 'Gestorben 1942', 'Mann']"
Wolfgang Dallmann,"['Organist (Kirchenmusik)', 'Hochschullehrer (HfK Heidelberg)', 'Träger des Bundesverdienstkreuzes 1. Klasse', 'Deutscher', 'Geboren 1924', 'Gestorben 2008', 'Mann']"
Carl Maria Kiesel,"['Grafiker', 'Person (Neu Beginnen)', 'Politiker (Kaiserslautern)', 'Deutscher', 'Geboren 1903', 'Gestorben 1971', 'Mann', 'SPD-Mitglied', 'Verurteilte Person (NS-Opfer)']"
Ernst Kiesling,"['Maler (Berlin)', 'Maler (Leipzig)', 'Illustrator (Deutschland)', 'Landschaftsmaler', 'Deutscher', 'Geboren 1851', 'Gestorben 1929', 'Mann']"
John Julia Scheffler,"['Komponist (Deutschland)', 'Dirigent', 'Deutscher', 'Geboren 1867', 'Gestorben 1942', 'Mann']"
Karl Schreiner (Politiker),"['GB/BHE-Mitglied', 'Landtagsabgeordneter (Bayern)', 'Träger des Bayerischen Verdienstordens', 'Deutscher', 'Geboren 1911', 'Gestorben 1979', 'Mann']"
"August Weber (Politiker, 1875)","['Reichstagsabgeordneter (Weimarer Republik)', 'Zentrum-Mitglied', 'Lehrer', 'Deutscher', 'Geboren 1875', 'Gestorben 1963', 'Mann']"
Waltraud Schiffer,"['Landtagsabgeordneter (Steiermark)', 'ÖVP-Mitglied', 'FPÖ-Mitglied', 'Landwirt (Steiermark)', 'Eggersdorf bei Graz', 'Österreicher', 'Geboren 1966', 'Frau']"
Pierre Dietz,"['Person (Kreis Groß-Gerau)', 'Fotograf (21. Jahrhundert)', 'Sachbuchautor', 'Person (Animation)', 'Dokumentarfilmer', 'Deutscher', 'Geboren 1963', 'Mann']"
Stefan Kießling (Organist),"['Kirchenmusiker (Leipzig)', 'Klassischer Organist', 'Deutscher', 'DDR-Bürger', 'Geboren 1979', 'Mann']"
Christian Dietz (Basketballspieler),"['Basketballspieler (Paderborn Baskets)', 'Deutscher', 'Geboren 1976', 'Mann']"
Gerd Starke,"['Hochschullehrer (Hochschule für Musik und Theater München)', 'Klassischer Klarinettist', 'Deutscher', 'Geboren 1930', 'Gestorben 2019', 'Mann']"
Franz Kießling (Lyriker),"['Autor', 'Lyrik', 'Literatur (20. Jahrhundert)', 'Literatur (Deutsch)', 'Literatur (Österreich)', 'Person (Cisleithanien)', 'Österreicher', 'Geboren 1918', 'Gestorben 1979', 'Mann']"
Johannes Straube,"['Harmoniumbauer', 'Klassischer Organist', 'Person (Berlin)', 'Geboren 1843', 'Gestorben 1906', 'Mann', 'Deutscher']"
Johann Peter Ernst von Scheffler,"['Namensgeber für eine Pflanzengattung', 'Mediziner (18. Jahrhundert)', 'Mineraloge', 'Absolvent der Albertus-Universität Königsberg', 'Mitglied der Naturforschenden Gesellschaft in Danzig', 'Freimaurer (18. Jahrhundert)', 'Deutscher', 'Geboren 1739', 'Gestorben im 19. Jahrhundert', 'Mann', 'Namensgeber für eine Pflanzengattung']"
